id,y1,y2,y3
1,-9703,-6716,-9632
2,-7865,-8697,-11039
3,-8132,-6576,-12124
4,-9131,-7968,-10351
5,-8821,-8388,-11343
6,-8864,-7980,-10607
7,-8399,-8448,-11020
8,-8213,-8473,-10777
9,-8032,-8537,-11036
10,-9453,-7685,-10659
11,-9193,-7852,-10813
12,-9507,-7382,-10224
13,-9536,-7033,-10587
14,-9171,-6148,-11322
15,-8848,-7137,-11739
16,-9088,-6800,-11394
17,-8590,-6240,-11884
18,-8456,-7503,-12078
19,-8145,-7093,-12098
20,-9658,-6612,-10684
21,-9309,-6402,-11071
22,-9365,-5838,-10960
23,-9220,-6601,-11209
24,-8438,-7867,-11822
25,-8089,-7592,-12094
26,-8316,-8223,-11610
27,-7360,-8532,-11306
28,-9050,-7955,-10850
29,-8997,-7260,-11208
30,-8879,-7468,-11002
31,-8948,-7520,-10926
32,-8854,-7363,-11245
33,-8966,-7221,-11297
34,-8823,-7324,-11334
35,-8563,-7491,-11488
36,-8594,-7530,-11399
37,-8497,-8159,-11351
38,-7727,-8443,-11290
39,-7889,-8460,-11039
40,-8270,-7528,-11835
41,-9315,-7431,-10910
42,-9004,-7021,-10930
43,-7541,-8468,-11047
