id,y1,y2,y3
1,-10261,-8505,-5750
2,-8128,-8926,-5557
3,-7706,-6523,-7830
4,-9504,-8836,-6108
5,-8703,-8889,-5917
6,-8801,-8842,-5651
7,-8313,-8921,-5518
8,-9723,-8584,-5766
9,-9604,-8734,-5598
10,-9513,-6450,-7205
11,-8890,-6513,-7557
12,-9279,-6835,-7478
13,-9408,-6496,-7275
14,-8651,-6827,-7633
15,-8756,-6781,-7563
16,-8104,-6056,-7755
17,-8358,-7248,-7638
18,-7749,-6291,-7767
19,-9972,-7095,-6786
20,-9678,-6246,-6981
21,-9735,-6845,-6821
22,-9629,-7260,-7068
23,-10193,-7859,-6579
24,-8189,-8044,-7032
25,-8872,-7591,-7426
26,-8308,-7934,-7255
27,-8796,-7815,-7333
28,-7689,-7088,-7685
29,-7515,-7053,-7720
30,-8416,-8420,-6574
31,-9436,-8190,-6937
32,-9211,-8315,-6773
33,-8410,-8368,-6582
34,-9106,-8754,-6331
35,-8191,-8545,-6410
36,-7973,-8427,-6452
37,-8433,-8838,-6237
38,-9788,-8049,-6409
39,-9808,-8371,-5941
40,-9968,-7984,-6415
41,-9839,-8220,-5769
42,-9311,-8213,-6263
43,-9240,-8486,-6325
44,-9667,-8325,-6116
45,-9563,-8174,-6245
46,-9536,-8088,-6427
47,-9655,-7938,-6595
48,-9570,-7922,-6931
49,-9495,-7528,-7074
50,-9194,-7897,-7110
51,-9328,-7629,-7104
52,-8767,-8030,-6984
53,-8776,-8319,-6399
54,-9714,-7276,-6732
55,-9742,-7159,-6652
56,-9747,-7220,-6622
57,-9688,-7882,-6485
58,-8741,-6914,-7494
59,-9220,-7497,-7341
60,-8977,-7545,-7356
61,-9349,-7158,-7138
62,-9364,-6851,-7142
63,-8995,-7622,-7177
64,-8492,-6980,-7632
65,-8401,-7016,-7575
66,-7870,-6818,-7708
67,-7913,-6586,-7645
68,-9638,-8568,-6102
69,-9572,-7356,-6813
70,-9498,-6583,-7136
71,-9691,-8088,-6042
